Title,Meaning,Context,Notes
PSIM,Person Service Identity Management,,
PSI,Patient Safety Issue,,
PSI,Performance Systems International,,
PSI,Potentially Shippable Increment,VistA,something that will be included in the next release?
PSL,Patient Service Line,,
PSMSL,Primary and Specialty Medicine Service Line,,
PS,Person Served,,
PSPO,Patient Safety Program Office,,
PS,Provider Systems,,
PSRO,Professional Services Review Organization,,
PSR,Patient Service Representative,,
PSSG,Planning Systems Support Group,,
PSS,Patient Satisfaction Survey,,
PST,Preliminary System Testing,,
PSWG,Patient Safety Work Group,,
PSWN,Public Safety Wireless Network,,
PSYCH,"Psychiatry or Psychiatric assessment, history, admit, personnel, or medications",,
PTA,Prior To Arrival,,
PTA,Privacy Threshold Analysis,,
PTC,Patient Transfer Center,,
PTC,Prosthetic Treatment Center,,
PTD,Project Tracking Database,,
PTE,Peace Time Enlisted,,
PTF,Patient Treatment File,,
PTF,President's Task Force,,
PT/INR,Prothrombin Time/International Normalized Ratio,,
PTI,Permanent Transfer In,,
PTO,Permanent Transfer,,
PT,Patient,,
P&T,Permanent and Total,,
P&T,Pharmacy and Therapeutics,,
PT,Physical Therapist,,
PTRP,Polytrauma Transitional Rehabilitation Program,,
PTRS,Private Treatment Records,,
PTSD,Post-Traumatic Stress Disorder,,
PTT,Partial Thromboplastin Time,,
PUB. L.,Public Law,,
PUMA,Physician Utilization Management Advisor,,
PUM,Pharmacy Utilization Management,,
PUMT,Pressure Ulcer Monitoring Tool,,
PUPP,Pressure Ulcer Prevention Protocol,,
PVA,Paralyzed Veterans of America,,
PVA,Power Virtual Agent,Microsoft SaaS offering for no-code tool to build bots and integrate with Microsoft omnichannel SAAS products,
PVAP,Pre-Vocational Apprenticeship Program,,
PVC,Premature Ventricular Contraction,,
PVD,Peripheral Vascular Disease,,
PVHCA,Pacific Virtual Healthcare Application,,
PVOD,Peripheral Vascular Occlusive Disease,,
PV,Planned Value,,
PVP,Permanent Virtual Pipe,,
PV,Primary View,,
PVS,Pre Visit Summary,,
PVTS,Privacy Violation Tracking System,,
PWA,Project Web Access,,
PWBA,Pension and Welfare Benefits Administration,,
PWGH,Principal Working Group on Health,,
PWS,Performance Work Statement,,
PWW,Patient Weighted Work,,
QA,Quality Assurance,,
QAR,Quality Assurance Review,,
QASP,Quality Assurance Surveillance Plan,,
QBE,Query by Example,,
QBL,Qualified Bidders List,,
QCP,Quality Control Plan,,
qCSI,Quick COVID-19 Severity Index,,
QD,Daily,,
QGNC,Quasi-Government Non-Profit Corporation,,
QID,Four times daily,,
QIO,Quality Improvement Organization,,
QIS,QuIC Information Systems (Workgroup),,
QITC,Quantico Information Data Center,,
QLE,Qualifying Life Event,,
QMAS,Quality Measurement Advisory Service,,
QMI,Quality Management Institute,,
QML,Qualified Manufacturers List,,
QMO,Quality Management Officer,,
QMP,Quality Management Plan,,
QoS,Quality of Service,,
QPL,Qualified Parts List,,
QPO,"Quality, Performance and Oversight",,
QRDA,Quality Reporting Document Architecture,,
QR,Quality Review,,
QRT,Quality Review Team,,
QSI,Quality Step Increase,,
QSPP,Quadrennial Strategic Planning Process,,
QSV,"Office of Quality, Safety, & Value",,
QTC,Quality. Timeliness. Customer Service.: contracted company that performs disability exams,disability exams,
QUAD,Quadrant,,
QUAD,Quadriplegic,,
QUASAR,Quality Audiology and Speech Analysis and Reporting,,
QUERI,Quality Enhancement Research Initiative,,
QUIC,Quality Improvement Checklist,,
QuIC,Quality Interagency Coordination Task Force,,
RACC,Restricted Access Claims Center,,
RACE,Rescue Activate Confine Extinguish,,
RACI,"Responsible, Accountable, Consulted, Informed",,describes the participation by various roles in completing tasks or deliverables for a project or business process
RAC,Resource Allocation Committee,,
RadLex,Radiology Lexicon,,
RAD,Rapid Application Development,,
RAD,Release from Active Duty,,
RAD,Resource Access Design,,
RAEM,Requirements Analysis and Engineering Management,,
RAFT,Reporting and Analytics Field Training,,
RAG,Research Advisory Group,,
RAID,Rapid Application Interface Development,,
RAID,Redundant Arrays of Independent Disks,,
RAI/MDS,Resident Assessment Instrument/Minimum Data Set,,
RAMMP,Red Tape Reduction,,
RAMP,Rapid Appeals Modernization Program,,
RAMP,Reports and Measures Portal,,
RAM,Resource Allocation Model,,
RAN,Regional Area Network,,
RAPM,Reverse Auction Program manager,,
RAP,Radiology Protocol Tool Recorder (RAPTOR),,
RAPTOR,Radiology Protocol Tool Recorder,,
RA,Requirements Analysis,,
RA,Room Air,,
RASCI,"Responsible, Accountable, Support, Consulted, Informed",,
RAS,Referral and Authorization System,,
RAS,Remote Access Service,,
RAS,Remote Authentication Service,,
RATS,Recertification Accounting Tracking System,,
RATSR,ESE Risk Analysis and Testing Scope Report,,
RBAC,Role-Based Access Control,,
RBA,Record Before the Agency,,
RBC,Relationship Based Care,,
RBD,Risk-Based Decision,,
RBPS,Rules Based Processing System,claims processing,
RB,Rating Board,,
RBRVS,Resource Based Relative Value Schedule,,
RC CAS,Resource Committee Capital Asset Subcommittee,,
RCA,Root Cause Analysis,,
RCE,Responsible Conference Executive,,
RCET,Revenue Cycle Enhancement Team,,
RCF,Residential Care Facility,,
RCH,Residential Care Home,,
RCIT,Rapid Cycle Improvement Team,,
RCN,Reports Control Number,,
RCO,Research Compliance Officer,,
RC,Regional Counsel,,
RC,Reserve Component,,
RC,Resident Commissioner,,
R/C,Return Call,,
RCS,Readjustment Counseling Service,,
RCS,Records Control System,,
RC,The Resource Committee,,
RCT,Religious Compensation Time,,
RDA,Registered Dental Assistant,,
RDAT,Request Remote Patient Data,,
RDBMS,Relational Database Management System,,
RDC,Rating Decision Complete,,
R&DC,Receiving & Distribution Center,,
RDC,Remote Desktop Connection,,
RDI,Remote Data Interoperability,,
RDM,Requirements Development and Management,,
RDN,Registered Dietitian Nutritionist,,
RDO,Regional Division Office,,
RDPC,Regional Data Processing Center,,
RDP,Remote Desktop Protocol,,
RD,Rating Decision,,
RD,Regional Director,,
RD,Registered Dietitian,,
R&D,Research and Development,,
RDS,Remote Dispensing System,,
RDV,Remote Data View,,
RDW,Regional Data Warehouse,,
REACHVET,Recovery Engagement and Coordination for Health – Veterans Enhanced Treatment,,
REAP,Research Enhancement Award Program,,
RECERT,Recertification,,
REC,Regional Extension Center,,
REDI,Resuscitation Education Initiative,,
RED,Requirements Elaboration Document,,
R/E/E M/E,Registration/Eligibility/Enrollment Maintenance/Enhancement (Project),,
REEM&E,Registration/Eligibility/Enrollment Maintenance & Enhancements (Project),,
RE,Requirements Engineering,,
RE,(One VA) Registration & Enrollment,,
REE,(VistA) Registration Eligibility & Enrollment,A VistA module that is used on site at VAMCs to get people signed up for VA Health Care,
REF,Reference,,
REGO II,Reinventing Government -- Phase II,,
REMS,Risk Evaluation and Mitigation Strategies,,
REPS,Restored Entitlement Program for Survivors,,
R&E,Registration and Eligibility,,
RESCUE,Remote Enterprise Security Compliance Update Environment,,
RESP,Respirations,,
RES,Requirements Elaboration Specification,,
REST,Representational State Transfer,,
RFA,Request For Application,,
RFCC,Request for Contract Change,,
RFCI,Request for Contract Increase,,
RFC,Request For Change,,
RFC,Request for Comments,,
RFD,Ready For Decision,,
RFE,Request for Evaluation,,
RFE,Routine Future Exam,,
RFID,Radio Frequency Identification,,
RFI,Request For Information,,
RFP,Request for Proposal,,
RFQ,Request for Quotation,,
RFTOP,Request for Task Order Proposal,,
RHC,Rural Health Clinic,,
RHIA,Registered Health Information Administrator,,
RHIO,Regional Health Information Organization,,
RHIT,Registered Health Information Technician,,
RHPI,Rural Health Professions Institute,,
RHVHH,Rocky Hill Veteran's Home & Hospital,,
RIC,Receiver In the Canal,,
RIDES-E,Remote Information Data Entry System - Enhanced,DoD system,
RIF,Reduction in Force,,
RILO,Region IT Logistic Officer,,
RIM,Reference Information Model,,
RIM,Research in Motion,created the phone BlackBerry,
RIMS,Records Inventory Management System,,
RISE,Revenue Improvement and Systems Enhancements,,
RISO,Regional Information Security Officer,,
RITPO,Resources Information Technology Program Office (DoD acronym),,
RIV,Remote Image Views,,
RLC,Regional Loan Centers,,
RLQ,Right lower quadrant of abdomen,,
RLS,Record Locator Service,,
RM PLAN,Risk Management Plan,,
RMC,Records Management Center,,
RMC,Resource Management Council,,
RMEC,Regional Medical Education Center,,
RME,Reusable Medical Equipment,,
RM-ES,Record Management - Evidentiary Support,,
RMF,Risk Management Framework,,
RMI,Remote Method Invocation,,
RMIR,OI&T Risk Management and Incident Response,,
RMIT,Resource Management Information Technology,,
RMON,Remote Monitor,,
RMO,Records Management Officer,,
RMP,Release Management Process,,
RMP,Risk Management Plan,,
RM,Requirements Management,,
RM,Risk Management,,
RMRS,Regenstrief Medical Record System,,
RMS,Release Management Service,,
RMS,Rights Management Services,,
RMT,Release Management Team,,
RNB,Reason Not Billable,,
RNE,Recreational Noise Exposure,,
RNFL,Retinal Nerve Fiber Layer,,
RNM,Radiology Nuclear Medicine,,
RN,Registered Nurse,,
ROADS,Registry Operations And Data Standards,,
ROB,VA National Rules of Behavior,,
ROC,Readiness Operations Center,,
ROC,Regional Operations Center,,
ROC,Rehearsal of Concept,,
ROC,Report of Contact,,
ROE,Rules of Engagement,,
ROES,Remote Order Entry System,,
RO&IC,Regional Office and Insurance Center,,
ROI,Release of Information,,
ROI,Return On Investment,,
ROJ,Regional Office of Jurisdiction,,
ROLAP,Relational On-Line Analytical Processing,,
ROM,Range of motion,,
ROM,Resource and Organizational Management,,
ROM,Rough Order of Magnitude,,
ROM,Rough Order of Merit,,
RONA,Release of Names and Addresses,,
RON,Rest Over Night,,
RO-OC,Regional Office-Outpatient Clinic,,
ROP,Reordering Points,,
ROQ,Reordering Quantities,,
ROQ,Review of Quality,,
RORC,Rehabilitation Outcomes Research Center,,
RO,Regional Office,,
R/O,Rule Out,,
ROS,Report of Survey,,
ROS,Results of Sale,,
ROS,Review of Systems,,
ROVAS,Refusal of VA Services,,
RPA,Robotic Process Automation,,
RPC Broker,Remote Procedure Call Broker,,
RPC,Radiation Policy Council,,
RPC,Regional Processing Center,,
RPC,Remote Procedure Call,,
RPG,Rocket Propelled Grenade,,
RPIW,Rapid Process Improvement Workshop,,
RPL,Restricted Patient List,,
RPM,Resource Planning and Management (Committee),,
RPM,Resource Planning Model,,
RPMS,Resource and Patient Management System,,
RPN,Risk Priority Number,,
RPO,Recovery Point Objective,,
RPO,Regional Processing Office,,
RQST,Request,,
RR&D,Rehabilitation Research and Development,,
R,Respiration(s),,
R,Right,,
RR,Respiratory Rate,,
RR,Responsible Role,,
RRD,Rapid Ready for Decision,An attribute of a claim that allows certain disability claims to be fast-tracked through the process,Certain conditions (e.g. hypertension) trigger this attribute on a claim
RRR,Regular rate rhythm,,
RRS,Records Retrieval System,,
RRTP,Residential Rehab Treatment Program,,
RRT,Rapid Response Team,,
RRT,Registered Respiratory Therapist,,
RSA,Replacement Scheduling Application,,
RSA,Resource Scheduling Allocation,,
RSAT,Residential Substance Abuse Treatment,,
RSC,Radiation Safety Committee,,
RSC,Regional Support Center,,
RSC,Resolution Support Center,,
RSC,Revenue Source Code,,
RSD,Reflex Sympathetic Dystrophy,,
RSD,Report System Distribution,,
RSD,Requirements Specification Document,,
RSD,Roger Software Development,,
RSF,Rentable Square Footage,,
RSLSP,Retroactive Stop Loss Pay,,
RSNA,Radiological Society of North America,,
RSO,Radiation Safety Officer,,
RS,Rescheduled,,
R/S,Respectfully Submitted,,
R&SS,Recruitment and Staffing Services,,
RTCIS,Remote Telepathology Consultation and Imaging System,,
RTC,Return To Clinic,,
RTEP,Request for Task Execution Plan,,
RTF,Rich Text Format,,
RTIS,Responding To Internal Stimuli,,
RTLS,Real-Time Location System,,
RTM,Reference Terminology Model,,
RTM,Requirement Traceability Matrix,,
RTNPC,Return To Nurse Procedure Clinic,,
RTO,Recovery Time Objective,,
RT,Reference Terminology,,
R/T,Related To,,
RT,Related To,,
RT,Respiratory Therapist,,
RTR,Ready-to-Rate,,
RTSUB,Rational Tools Service Request database name,,
RTT,OED Rational Tools Team,,
RUG,Resource Utilization Groups,,
RUM,Resource Usage Monitor,,
RUP,Rational Unified Process,,
RUQ,Right Upper Quadrant,,
RUQ,Right Upper Quadrant Of Abdomen,,
RUR,Revenue Utilization Review,,
RVEC,Regional Veterans Employment Coordinator,,
RVN,Republic of Vietnam,,
RVR,Rapid Ventricular Response,,
RVS,Relative Value Scale,,
RVSR,Rating Veterans Service Representative,A more senior representative than a Veteran Service Representative who reviews a rating if it gets challenged.,See HLR (Higher Level Review)
RVU,Relative Value Unit,,
RVW,Review,,
RXCOTS,Pharmacy Commercial Off the Shelf,,
RxNORM,Normalized naming system for generic and branded drugs,,
RX,Prescription,,
SAAG,Serum-ascites albumin gradient,,
SAAN,Supply Automation Advisory Network,,
SAA,Same As Above,,
SaaS,Software as a Service,,
SAA,State Approving Agency,,
SAB,Standards Advisory Board,,
SACC,Standards & Conventions Committee,,
SAC,Senate and Appropriations Committee,,
SAC,Special Agreement Check,,
SAC,Standards and Conventions,,
SAC,Strategic Acquisition Center,,
SADR,Standard Ambulatory Data Record,,
SAD,Software Architecture Document,,
SAEAF,Service Aware Enterprise Architecture Framework,,
SAE,Serious Adverse Event,,
SAFe,Scaled Agile Framework,,
SAGG,Statistical Analysis Global Growth,,
SAHSHA,Specially Adapted Housing/Special Housing Adaptation,VBA,
SAH,Special Adaptive Housing,,
SAH,Strength at Home,,
SAIC,Science Applications International Corporation,,
SAIF,Service Aware Interoperability Framework,,
SAIL,Strategic Analytics for Improvement and Learning,,
SAIM,Supporting All Improvement Methodologies,,
SAMHSA,Substance Abuse and Mental Health Services Administration,,
SAML,Security Assertion Markup Language,,
SAM,Secured administrative message,,
SAM,Strategic Asset Management,,
SAM,Subsistence Allowance Module,,
SAN,Storage Area Network,,
SANVR,Salvation Army Northport Veterans Residence,,
SAO,Senior Accountable Official,,
SAO,Service Area Office,,
SAO,Service Area Organization,,
SAO,Supervisory Administrative Officer,,
SAPP,Servicer Appraisal Processing Program,,
SAP,Simplified Acquisition Procedures,,
SAQ,Short Arc Quad,,
SARP,Substance Abuse Rehabilitation Program,,
SARRTP,Substance Abuse Residential Recovery Treatment Program,,
SARS,Severe Acute Respiratory Syndrome,,
SAR,Staff Appraisal Reviewer,,
SA,Security Architecture,,
SASE,Self Addressed Stamped Envelope,,
SAS,Statement on Auditing Standards,,
SAS,Statistical Analysis System,,
SATA,Serial Advanced Technology Attachment,,
SATCOM,Satellite Communications Unit/Terminal,,
SATP,Substance Abuse Treatment Program,,
SATRWG,Software Application Testing and Review Workgroup,,
SAT,Saturday,,
SAT,Senior Assessment Team,,
SAT,Simplified Acquisition Threshold,,
SAT,Special Assistance Team,,
SATT,Substance Abuse Treatment Team,,
SAVD,Security Assessment & Validation Directorate ,,
SAVE,Signs Ask Validate Encourage,,
SAVES,Suicidal Alert Veterans Emergency System,,
SAW,School At Work,,
SBAR,"Situation, Background, Assessment, Recommendation",,
SBA,Small Business Administration,,
SBA,Standby Assistance,,
SBC,Survivor Benefits Center,,
SBOM,Software Bill of Materials,,
SBR,Suicide Behavior Report,,
SB/SDB,Small Business/Small Disadvantaged Business,,
SB,Sinus Bradycardia,,
SBU,Sensitive But Unclassified,,
SCAMC,Symposium On Computer Applications In Medical Care,,
SCAMPI,Standard CMMI Appraisal Method for Process Improvement,,
SCAMP,Security Configuration And Management Program,,
SCAN-ECHO,Specialty Care Access Network-Extension for Community Healthcare Outcomes,,
SCAP,Security Content Automation Protocol,,
SCA,Security Controls Assessment,,Don't call it an Audit.
SCA,Special Contribution Award,,
SCCM,System Center Configuration Manager,,
SCC,Scope Change Control,,
SCD,Service Computation Date,,
SCD,Service Connected Disease,,
SCD,Spinal Cord Dysfunction Registry,,
SCEM,"Standards, Criterion, Evaluative Algorithms and Measuring Instruments",,
SCEP,Student Educational Employment Program,,
SCGP,State Cemetery Grants Program,,
SCG,Senior Coordinating Group,,
SCHCS,Small Composite Health Care System (DoD),,
SCI HC,Spinal Cord Injury Home Care Program,,
SCIDO,Spinal Cord Injury Disorder,,
SCIFD,"Standardization, Compatibility, Interoperability and Fiscal Discipline",,
SCIF,Secure Compartment Information Facility,,
SCIP,Spinal Cord Injury Program,,
SCIP,Strategic Capital Investment Process,,
SCIP,Surgical Care Improvement Project,,
SCI,Spinal Cord Injury,,
SCM,Security Configuration and Management (Program),,
SCM,Source Code Management,,
SCM,Supply Chain Management,,
SCNR,Site Clear Nonred,,
SCORM,Sharable Content Object Reference Model,,
SCQC,Software Code Quality Checking,,
SCRA,Servicemember Identification for Servicemember Civil Relief Act,,
SCRIPT,Suicidal Caller Response Incident Protocol Training,,
SCR,Serum Creatinine,,
SC,Service Connected,,
SCSI,Small Computer System Interface,,
SCS,Subscription Control Service,,
SC,Subcutaneous,,
SC,Supplemental Claim,,
SCUNA,Service-Connected Unauthorized,,
SCVTS,Switch Compressed Video Transmission Service,,
SDC,Same Day Clinic,,
S&DC,Service and Distribution Center,,
SDC,Strategic Directions Committee,,
SDC,System Development Center,,
SDD,Software Design and Development,,
SDD,System Design Document,,
SD&D,Systems Design and Development,,
SD&E PAO,Service Delivery and Engineering (SD&E) Program Administration Office (PAO),,
SD&E,Service Delivery and Engineering,,
SDE,Service Delivery and Engineering,,
SDK,Software Development Kit,,
SDLC,System Development Life Cycle,,
SDM,Service Desk Manager,,
SDM,System Development and Modernization (workgroup),PACT Act related interest in improving ease of onboarding to VA and understanding of eligibility,
SDN,Software Defined Network,,
SDO,Standards Development Organization(s),,
SDP,Supervised Direct Pay,,
SDS,Standard Data Service,,
SDS,System Development Support,,
S&D,Storage and Distribution,,
SDVCS,Self-Directed Violence Classification System,,
S-DVI,Service-Disabled Veterans' Insurance,,
SDVOSB,Service Disabled Veteran-Owned Small Business,,
SDV,Self-Directed Violence,,
SEC,Screening and Evaluation Committee,,
SECVA,Secretary,,
SEDR,Systems Engineering and Design Review,,
SEER,"Surveillance, Epidemiology, and End Results Reporting",,
SEES,Survey Evaluation Exam System,,
SEI,Self Entered Information,,
SE&I,Software Engineering & Integration,,
SEI,Software Engineering and Integration,,
SEPG,Software Engineering Process Group,,
SEPS,Space & Equipment Planning System,,
SEP,Stakeholder Enterprise Platform,,
SEP,Systems Engineering Plan,,
SERP,Systematic External Review Program,,
SE,Side Effects,,
SES,Senior Executive Review Program,,
SES,Senior Executive Service,,
SE,Supported Employment,,
SEWP,Solutions for Enterprise-Wide Procurement,,
SFA,Strategic Focus Area,,
SFDI,Space and Functional Deficiency Identification System,,
SFFX,Shared Folder and File Exchange,,
SF,Standard form,,
SFTP,Secure File Transfer Protocol,,
SFT,Store Forward Technology,,
SGLI,Servicemembers' Group Life Insurance,,
SGL,Standard General Ledger,,
SGML,Standard Generalized Markup Language,,
SG,Surgeon General,,
SHAD,Shipboard Hazard and Defense,,
SHAI,Secure Hash Algorithm,,
SHARE,Application that allows regional office employees to inquiry against legacy information,,"contains information needed to identify the veteran such as type of benefit, branch of service, service entry and discharge dates, DOB, gender, SSN, and location of veteran's claims folder (2010 report: <https://www.va.gov/oig/52/reports/2010/VAOIG-09-01968-150.pdf>)"
SHA,Separation Health Assessment,,
SHA,Special Housing Adaptations,VBA,
SHCGP,State Home Construction Grant Program,,
SHEP,Survey of Healthcare Experiences of Patients,,
SHG,Strategic Healthcare Group,,
SHRAC,Strategic Human Resource Advisory Committee,,
SHS,Secure Hash Standard,,
SHS,Society for Health Systems,,
SHT,Shift Handoff Tool,,
SIA,System Interconnection Agreement,,
SIB,Self Injurious Behavior,,
SIC,Security and Investigations Center,,
SIC,System Integration Center,,
SICU,Surgical Intensive Care Unit,,
SIDR,Standard Inpatient Data Record,,
SIEM,Security Information and Event Management,,
SIG,Signa (Latin),,
SIG,Special Interest Group,,
SI/HI,Suicidal Ideation/Homicidal Ideation,,
SIIT,Surgical Infrastructure Inventory Tool,,
SIM,Stakeholder Information Management,,
SIM,Strategic Investment Management,,
SIO,System Integration Office,,
SIPRNET,Secret Internet Protocol Router Network,,
SIP,Session Initiation Protocol,,
SIP,Strategic Implementation Plan,,
SIP,Supplier Idea Portal,,
SIPU,Specialized Intensive PTSD Unit,,
SIR,Systematic Internal Review,,
SI,Seriously Injured,claims processing,
SI/SI,Severely Injured/Seriously Ill,,
SISP,Strategic Information Systems Plan,,
S/I,Suicide Ideation,,
SI,System Implementation,,
SIT,Systems Integration Test,,
SIUG,Special Interest Users Group,,
SIWG,Scheduling Interoperability Workgroup,,
SKIPPES,"Skills, Knowledge, Insurance Procedures and Practices Embedded in Systems",,
SKU,Stock Keeping Unit,,
SLAB,Service Level Approval Board,,
SLAM,Service Level Agreement Modification,,
SLAP,Service Level Approval Process,,
SLA,Service Level Agreement,,
SLC,Special Law Code,,
SLIMS,Summary List Management Service,,
SLIP,Serial Line Interface Protocol,,
SLIP,Shortest Life Into Production,,
SLMB,Service Level Management Board,,
SLP,Speech-Language Pathologist,,
SLP,Station Level Project,,
SLRP,Student Loan Repayment Program,,
SLR,Service Level Requirement,,
SLR,Straight Leg Raise,,
SL,Saline Lock,,
SL,Service Line,,
SL,Sick leave,,
SLT,Service Level Target,,
SMAG,Special Medical Advisory Group,,
SMART,"Science, Mathematics, and Research for Transformation",,
SMART,Security Management and Reporting Tool,,
SMART,"Site Monitoring, Auditing and Resource Team (VA Cooperative Studies Program)",,
SMA,Shared Medical Appointment,,
SMBG,Self-Monitored Blood Glucose,,
SMC,Special Monthly Compensation,,
SMC,Strategic Management Council,,
SMDS,Switched Multimegabit Data Services,,
SME,Subject Matter Expert,,
SMG,Strategic Management Group,,
SMIB,Supplemental medical Insurance Benefit,,
SMIME,Secure/Multipurpose Internet Mail Extensions,,
SMI,Serious Mental Illness,,
SMI-S,Storage Management Initiative Specification,,
SMITREC,Serious Mental Illness Research and Evaluation Center,,
SMMR2,Six Month Maintenance Release 2,,
SMOCTA,Service Members Occupational Conversion and Training Act of 1992,,
SMP,Strategic Management Process,,
SMP,Symmetric Multiprocessing,,
SMR,Scope Modification Request,BIP Process,
SMR,Standardized Mortality Ratio,,
SMRTS,Service Medical Records Tracking System,,
SM,Scope Management,BIP Process,
SM,Secure Message,,
SM,Service Members,,
SMS,Shared Medical Systems (one of the largest hospital software vendors),,
SMS,Software Management Server,,
SMS,System Management Software,,
SMTP,Simple Mail Transfer Protocol,,
SNAC,Systems and Network Attack Center,,
SNAP,Supplemental Nutrition Assistance Program,,
SNA,Systems Network Architecture,,
SNF,Skilled Nursing Facility,,
SNI,Standardized Numeric Identifier,,
SNMP,Simple Network Management Protocol,,
SNOD,Standardized Notice of Disagreement,appeals,
SNOMED CT,Systematized Nomenclature of Medicine - Clinical Terms,,
SNOMED,Systematized Nomenclature of Medicine,,
SNOW,ServiceNow,OIT,"a portal for OI&T incidents to be created and routed,<https://yourit.va.gov>"
SNTP,Soft Nontender to palpation,,
SNT,Student Nurse Technician,,
SNV,Skilled Nursing Visit,,
SOAP,Simple Object Access Protocol,,
SOAP,"Subjective, Objective, Assessment, and Plan",,
SOARS,System-wide Ongoing Assessment and Review Strategy,,
SOAR,Strategic Objective annual review,,
SOA,Service Oriented Architecture,,
SOA,System-Oriented Architecture,,
S.O.B.,Shortness Of Breath,,
SOB,Shortness of Breath,,
SOC,Satellite Outpatient Clinic,,
SOC,Security Operations Center,,
SOC,Senior Oversight Committee,,
SOC,Statement of Case,appeals,
SOE,Service Oriented Enterprise,,
SOE,Survey of Enrollees,,
SOFC,SMART on FHIR Container,,
SOF,SMART on FHIR,,
SOGI,Sexual Orientation and Gender Identity,,
SOG,Standard Operating Guideline,,
SOI,Security Office Identifier,,
SOI,Service Oriented Infrastructure,,
SOJ,System of Jurisdiction,,
SONP,Satellite Overlay Network Project,,
SON,Submitting Office Number,,
SOO,Statement of Objective,,
SOO,Station Of Origin,,
SOPC,Satellite Outpatient Clinic,,
SOP,Standard Operating Procedure,,
SORN,System of Record Notice,,published report that lists all of the software that hosts important data
SOR,System of Record,,
SO,Service Operations,,
SOS,Scrum of scrums,,
SOTA,State of the Art Conferences,,
SOW,Statement of Work,,
SPAN,Suicide Prevention Application Network,,
SPARQ,Specialty Productivity - Access Report and Quadrant Tool,,
SPAR,Sensitive Patient Access Report,,
SPAWARS,Space and Naval Warfare Systems,,
SPCM,Suicide Prevention Case Manager,,
SPC,Suicide Prevention Coordinator,,
SPDAT,Service Prioritization Decision Assistance Tool,,
SPDMP,State Prescription Drug Monitoring Program,,
SPD,Sterile Processing Department,,
SPD,"Supply, Processing, and Distribution",,
SPES,Single Photon Emission Scanning,,
SPHM,Safe Patient Handling and Movement,,
SPI,Schedule Performance Index,,
SPI,Sensitive Personal Information,,
SPI,Spend Plan Identification,,
SPI,Spend Plan Item,,
SPMI,Serious and Persistent Mental Illness,,
SPML,Service Provisioning Markup Language,,
SPMP,State Prescription Drug Monitoring Programs,,
SPNEGO,Simple and Protected Negotiation Mechanism,,
SPOC,Service Point of Contact,,
SPORTS,DoD system for STR monitoring and reporting,,
SPP,"IT Enterprise Strategy, Policy, Plans and Programs",,
SPP,Scalable Parallel Processing,,
SP,ScriptPro,,
SP,Special Publication,,
SP,Spouse,,
SPSS,Statistical Package for the Social Sciences,,
SPS,Sterile Processing Services,,
SPS,Strategic Planning Service,,
SP,Standards of Profile,,
S/P,Status Post,,
SPV,Supervision,,
SQA,Safety Quality Assurance,,
SQA,Software Quality Assurance,,
SQAS,Systems Quality Assurance Service,,
SQC,Statistical Quality Control,,
SQL,Structured Query Language,,
SQN,Surgical Quality Nurse,,
SQ,Subcutaneous,,
SQWM,Surgical Quality Workflow Manager,,
SRA,State Regulation Agencies,,
SRC,Systems Resources Corporation,,
SRM,Service Reference Model,,
SRO,Single Room Occupancy,,
SRR,System Requirements Review,,
SRSBS,"Subcommittee on Research Safety, Biosafety and Security",,
SR,Service Request,,
SR,Sinus rhythm,,
SRS,Software Requirements Specification,,
SR,Systems Redesign,,
SRTP,Secure Real-Time Transport Protocol,,"SRTP is a security profile for RTP that adds confidentiality, message authentication, and replay protection to that protocol."
SRT,Special Response Team,,
SRT,System Review Team,,
SS,Sliding Scale,,
SSAA,System Security Authorization Agreement,,
SSAC,Source Selection Advisory Council,,
SSA,Social Security Administration,,
SSB,Special Separation Benefit,,
SSC,Support Services Centers,,
SSC,Surviving sepsis campaign,,
SSDI,Social Security Disability Insurance,,
SSD,Service Support Division,,
SSEB,Source Selection Evaluation Board,,
SSH,Secure Shell,,
SSIS,SQL Server Integration Services,,
SSI,Supplemental Security Income,,
SSL,Secure Socket Layer,,
SSL/TLS,Secure Sockets Layer/Transport Security Layer,,
SSM,Software Service Manager,,
SSMS,SQL Server Management Studio,,
SSN,Social Security Number,,
SSO,Single Sign-On,,
SSO-CM,Single Sign-On and Context Management,,
SSOC,Supplemental Statement of the Case,,
SSOI,Single Sign-On Integration,,
SSOT,Single Source of Truth,,
SSP,System Security Plan,,
S/S,Signs or Symptoms,,
SSS,Sick Sinus Syndrome,,
SSVF,Supportive Services for Veterans Families,,
STA3N,Station Number Identifier,,
STAIR,Sites of Temporarily Augmented Ionizing Radiation,,
STAP,Sustainment Transition Acceptance Plan,,
STAR,Servicemember Transitional Amputation Rehabilitation program,,
STAR,Statistical and Technical Accuracy Report,,
STAT,Strategic Technology Alignment Team,,
STAT,Supported Treadmill Ambulation Training,,
STC,Service Transition Charter,,
STC,Sunshine Training Center,,
STDP,System To Drive Performance,,
STD,Standard,,
STEMI,ST-elevation myocardial infarction,,
STEPPS,Strategies and Tools to Enhance Performance and Patient Safety,,
STEP,Secure Technology Evaluation Project,,
STEP,Student Temporary Employment Program,,
STICC,Seamless Transition Integrated Care Clinic,,
STIG,Security Technical Implementation Guides,,
STI,Sexually Transmitted infection,,
STM,Short Term Model,,
STORM,Stratification Tool for Opioid Risk Management,VHA,STORM predicts risk of overdose or suicide-related health care events or death.
